"species","redlistCategory","yearPublished","assessmentDate","habitat","threats","population","populationTrend"
"Erythrolamprus maryellenae","Least Concern",2019,"2012-12-31 00:00:00 UTC","This diurnal species is terrestrial and semi-aquatic, and feeds on fishes and amphibians (Cassimiro and Bertoluci 2003, Franca <em>et al.</em> 2008). It is found mostly in low-lying, swampy or riparian habitats, including  wet grasslands (campo úmido), grasslands (campo limpo), palm grasslands (veredas), and riparian (mata ciliar) and gallery forests (floresta de galeria) (Cassimiro and Bertoluci 2003, Vaz-Silva <em>et al.</em> 2007, Cintra <em>et al. </em>2009, Valdujo <em>et al.</em> 2009, C. Nogueira pers. obs.). This small snake measures an average of 305 mm snout-vent length (Franca <em>et al. </em>2008),","This species may be locally impacted by the loss of native vegetation due to mechanized agriculture. Data from 2008 indicated that at least 48% of its range&#160;was still covered by native vegetation.","No information is available on population trends.","Unknown"
"Phalotris nasutus","Least Concern",2020,"2012-12-31 00:00:00 UTC","The species is endemic to the Cerrado (Nogueira<em> et al.</em> 2011), where it is found mostly in Cerrado savanna (cerrado sensu stricto) and interfluvial grasslands, and absent from riparian or gallery forest (mata ciliar) (França <em>et al</em>. 2008, Valdujo <em>et al.</em> 2009, Nogueira<em> et al. </em>2011). It is fossorial, diurnal and nocturnal (Ferrarezzi 1993, Lema 1999, Lema <em>et al.</em> 2005, Carvalho and Di-Bernardo 2006, França <em>et al.</em> 2008, Silva-Jr. <em>et al. </em>2009). It feeds on amphisbaenids and other snakes (França<em> et al. </em>2008). It reaches on average 950 mm in length (Ferrarezzi 1993).","This species is under threat from the ongoing loss and degradation of savannas and grasslands. Although threats are widespread throughout most of the species' range (C. Noguiera pers. comm. 2019), this is a widespread snake and data from 2008 indicated that at least 550,961 km<sup>2</sup>&#160;within its range was still covered by native vegetation (PMDBBS 2012).","No information is available on population trends.","Unknown"
"Phalotris labiomaculatus","Least Concern",2019,"2012-12-31 00:00:00 UTC","This species occurs in the Cerrado region (Lema <em>et al</em>. 2005, Nogueira <em>et al. </em>2010, Recoder <em>et al. </em>2011).","Habitat loss due to the expansion of mechanized agriculture poses a localized threat. Data from 2008 indicated that at least 89% of its range was still covered by native vegetation.","No information is available on population trends.","Unknown"
"Phalotris lativittatus","Near Threatened",2019,"2012-12-31 00:00:00 UTC","This species occurs in Cerrado scrub grassland (campo sujo) and gallery forest, at a maximum of 1,000 m above sea level (Ferrarezzi 1993, Moura-Leite 2001, Bérnils <em>et al. </em>2004, Sawaya<em> et al.</em> 2008, Marques <em>et al. </em>2009, Vasconcelos and Santos 2009). It is fossorial, both diurnal and nocturnal, and has been found to be active during the rainy season from October to February (Sawaya <em>et al. </em>2008). A gravid female 703 mm in length was found in January and laid five eggs; it had an amphisbaenian in its digestive tract (H. Ferrarezzi pers. comm. 2008). It reaches 706 mm snout-vent length (Sawaya <em>et al.</em> 2008).","The remaining areas of Cerrado habitat in the state of São Paulo total only about 2,000 km<sup>2</sup>. They are heavily fragmented, and under threat from urban and agricultural expansion, invasive species and change in natural fire regimes.","This species is rare and possibly endemic to the state of São Paulo (Sawaya<em> et al.</em> 2008, Araújo and Almeida-Santos 2011).","Unknown"
"Helicops gomesi","Least Concern",2019,"2012-12-31 00:00:00 UTC","This aquatic species occurs in the Cerrado and Atlantic Forest (Silva and Sites 1995, Costa <em>et al. </em>2007, Scartazzoni 2009, Valdujo<em> et al.</em> 2009). It is oviparous (Braz<em>&#160;et al.</em>&#160;2016)&#160;with a continuous reproductive cycle. Six females collected in January, May, June, September and October had  vitellogenic follicles; one female collected in October had eggs in the oviduct, and neonates were recorded in March (Scartazzoni 2009). Clutch size ranges from seven to 22 eggs. It feeds on fishes and amphibians, and maximum snout-vent length recorded is 761 mm (Scartazzoni 2009).","There are no known threats affecting this species. It occurs in degraded areas subject to varying types of impact.","No detailed information is available on population trends.","Unknown"
"Siagonodon acutirostris","Least Concern",2019,"2012-12-31 00:00:00 UTC","This species occurs in savannas on sandy soils in the Cerrado (Pinto and Curcio 2011, Recoder <em>et al. </em>2011). It reaches 216 mm in length.","No major threats have been recorded for this species. The known locality lies within the largest remaining continuous area of Cerrado.","There is no information is available on population trends.","Unknown"
"Epictia clinorostris","Vulnerable",2021,"2012-12-31 00:00:00 UTC","This species occurs in the Cerrado of Central Brazil. The holotype and paratype were found in gallery forest, and the species may be restricted to this habitat (Arredondo and Zaher 2010). The species reaches 206 mm in length (Arredondo and Zaher 2010),","This species may be under strong pressure due to deforestation, with 13.4% of gallery forest between the known localities having been lost between 2003 and 2008 (PMDBBS 2012). Mechanized agriculture, including soybean cultivation, has probably accelerated rapidly since 2008 and is likely to have resulted in more drastic declines (C. Nogueira pers. comm. 2019).","This species is known from three specimens, from a relatively poorly-surveyed area (C. Nogueira pers. comm. 2019).","Unknown"
"Phalotris multipunctatus","Endangered",2020,"2012-12-31 00:00:00 UTC","Sawaya <em>et al. </em>(2008) note that, while nothing is known of this small snake's natural history, in common with congeners it is probably a fossorial species that is likely to feed on elongate fossorial vertebrates. The holotype was collected from a farm close to a nature reserve, and the known localities lie within the Cerrado (Sawaya <em>et al.</em> 2008) The known localities are characterized by ""mosaics of open Cerrado vegetation"", and particularly areas with mesic climates, pronounced dry seasons and deep sandy soils known as campo sucio (known in Brazil as campo sujo - C. Nogueira pers. comm. 2019) (Atkinson <em>et al.</em> 2018). It has been hypothesized that this species may be specialized to this microhabitat, which may explain its apparent rarity and patchy distribution as this habitat type has a ""sparse distribution"" (Atkinson <em>et al. </em>2018).","There is ongoing and extensive habitat loss within this region due to cattle farming, agricultural, and urban expansion. Data from 2008 indicated that as little as 22.7% of the area within a 10 km<sup>2</sup> buffer of the known localities was still covered by native vegetation (PMDBBS 2012), however, this species may be extremely localized and savanna habitat within its apparent range is restricted to small fragments (C. Nogueira pers. comm. 2019). Flat grassland areas such as campo sucio are are often among the first to be converted to mechanized agriculture, and the small areas that remain are mostly ""in poor shape"" (C. Nogueira pers. comm. 2019). Atkinson<em> et al.</em> (2018) state that the total area of campo siucio habitat is ""tiny"" (estimating that it is below 5,000 km<sup>2</sup>) This value appears to have been based on the IUCN thresholds, and the true area of campo sucio is believed to be well below this value - C. Nogueira pers. comm. 2019). The area around the type locality, including the Itirapina reserve, is only around 1,300 ha and this species seems to be localized even within this area; most other patches of this habitat are smaller (C. Nogueira pers. comm. 2019). The species may consequently be at risk from the rapid conversion of these areas for agricultural use. The Rancho Laguna Blanca lies within one of the most desirable areas of Paraguay for agricultural development, and while this site was formerly a private reserve this protection expired in 2015 and Atkinson <em>et al.</em> (2018) reported that it was up for sale, with a high risk that it could soon be converted to ranchland.","This species is to date is known from four specimens collected from three localities and at intervals of nearly or more than 30 years: in 1952, 1980, and 2016 (Atkinson<em> et al.</em> 2018). It has never been rediscovered at either Elba farm or Rio Brilhante, despite&#160;extensive sampling using multiple approaches in remaining Cerrado in the Estação Ecológica de Itirapina, adjacent to Elba farm (Sawaya<em> et al.</em> 2008), and it was not recorded until 2016 at the Paraguayan locality, where reptile surveys have been ongoing since 2010 (Atkinson <em>et al. </em>2018). This suggests that this is an extremely rare species or restricted to particular, discontinuous habitats (Sawaya<em> et al.</em> 2008), or at least that it is difficult to detect using standard survey methods (Atkinson <em>et al. </em>2018). This latter is considered unlikely, as other <em>Phalotris </em>species were found in the reserve during these surveys (C. Nogueira pers. comm. 2019). The population trend is unknown, but due to pressures on the Cerrado and the likelihood that this species is endemic to this habitat, it is very likely to be declining (Atkinson <em>et al.</em> 2018). This species appears to occur at very low densities and apparently suitable habitat is sporadically distributed (Atkinson <em>et al</em>. 2018), and as such it may well occur as a severely fragmented population.","Unknown"
"Micrurus brasiliensis","Least Concern",2020,"2012-12-31 00:00:00 UTC","This species occurs in sandy soil grasslands (campos arenosos) (Recoder <em>et al.</em> 2011), and in deciduous, tropical and subtropical forests in the Cerrado, 700 m above sea level of Cerrado (Campbell and Lamar 2004). It feeds on amphisbaenans and on other snakes (Roze 1996, Bocchiglieri and Reis 2008). Longevity of two years in captivity (Oliveira <em>et al.</em> 2005) and reaches 865 mm in length (Silva Jr. 2007).","Habitat loss due to mechanized agriculture may pose a serious threat in parts of the range, however as this is a very widespread species impacts are likely to be localized.","No information is available on population trends.","Unknown"
"Juscelinomys huanchacae","Data Deficient",2017,"2017-08-24 00:00:00 UTC","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This species is found in humid areas and is known to inhabit Cerrado grassland habitat. It has long claws which may serve to dig deep nesting burrows to escape threats and to dig for invertebrate prey (Emmons and Patton 2012). Stomach contents from captured specimens have included ants and insect larvae as well as some plant matter (Emmons 2015).&quot;}"" data-sheets-userformat=""{&quot;2&quot;:14784,&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:3026478},&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:12}"">This species is found in humid areas and is known to inhabit Cerrado grassland habitat&#160;(Emmons and Patton 2012)<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This species is found in humid areas and is known to inhabit Cerrado grassland habitat. It has long claws which may serve to dig deep nesting burrows to escape threats and to dig for invertebrate prey (Emmons and Patton 2012). Stomach contents from captured specimens have included ants and insect larvae as well as some plant matter (Emmons 2015).&quot;}"" data-sheets-userformat=""{&quot;2&quot;:14784,&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:3026478},&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:12}"">.&#160;It has been recorded from well drained or rarely- and shallowly-flooded open savanna with dense bunch grass and scattered trees or shrubs (Emmons 1999).&#160;It has long claws which may serve to dig deep nesting burrows to escape threats and to dig for invertebrate prey (Emmons and Patton 2012). Stomach contents from captured specimens have included ants and insect larvae as well as some plant matter (Emmons 2015).&#160;It is not known if this species can occur in modified habitats. This species co-occurs with&#160;<em>Kunsia tomentosa</em>&#160;(Emmons 1999).</span>","<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;It has been found that this species is prone to local extinction. Small litter size and patchy occurrence imply a slow repopulation potential after population decline (Emmons and Patton 2012). Agroindustry, biofuel production, and cattle raising on grasslands planted with exotic species represent the biggest threats to the habitat of this species (Emmons 2015).&quot;}"" data-sheets-userformat=""{&quot;2&quot;:14720,&quot;10&quot;:0,&quot;11&quot;:4,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:0},&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:12}"">It has been found that the species is prone to local extinction. Small litter size and patchy occurrence imply a slow re-population potential after population decline (Emmons and Patton 2012). Agro-industry, biofuel production, and cattle raising on grasslands planted with exotic species represent the biggest threats to the habitat of this species (Emmons 2015).&#160;Failure to burn and overgrowth of the grasslands with shrubs or trees may affect population densities of this species (Emmons, L. pers. comm).","This species has been found to be highly variable in time and space (Emmons and Patton 2012). After long-term trapping in a standard plot, the population was noted to have undergone fluctuations which may indicate population swings leading to local extinction (Emmons 2015). The population has also been observed to be in decline in a 10-year long-term study in two localities in the lowland savannas eastern Bolivia (Emmons 2009).","Unknown"
"Phaethornis nattereri","Least Concern",2018,"2018-08-07 00:00:00 UTC","","","The global population size has not been quantified, but the species is described as perhaps locally common, although poorly known (del Hoyo <em>et al</em>. 1999).","Decreasing"
"Herpsilochmus longirostris","Least Concern",2018,"2018-08-06 00:00:00 UTC","","","The global population size has not been quantified, but this species is described as 'fairly common' (Stotz <em>et al.</em> 1996).","Decreasing"
"Antilophia galeata","Least Concern",2018,"2018-08-06 00:00:00 UTC","","","The global population size has not been quantified, but this species is described as 'fairly common' (Stotz <em>et al. </em>1996).","Decreasing"
"Syndactyla dimidiata","Least Concern",2018,"2018-08-07 00:00:00 UTC","The species is found in the lower and middle growth of humid and gallery forest and woodland, favouring dense undergrowth and vine tangles.","The species is presumably threatened by agricultural conversion of forested areas within the Brazilian planalto, and more information is required regarding population size and trends.","The global population size has not been quantified, but this species is described as 'uncommon' (Stotz <em>et al. </em>1996).","Decreasing"
"Clibanornis rectirostris","Least Concern",2018,"2018-08-07 00:00:00 UTC","The species is found in the undergrowth of gallery forest and patches of deciduous woodland.","The species is presumably threatened by selective logging and agricultural conversion of forested areas within the Brazilian planalto, and more information is required regarding population size and trends.","The global population size has not been quantified, but this species is described as 'rare' (Stotz<em> et al.</em> 1996).","Decreasing"
"Nothura minor","Vulnerable",2018,"2018-08-07 00:00:00 UTC","In Brazil it favours 'campo limpo' grassland at 700-1,000 m  (Parker<em> et al.</em> 1996, L. F. Silveira <em> in litt.</em> 1999, 2007)<strong></strong>,<strong><sup> </sup></strong>although the Paraguayan site is considerably lower (about 200 m a.s.l.), generally preferring scrubbier areas (campo sujo) than <em>N. maculosa</em>. It appears to prefer areas with a continuous cover of tall grasses and sedges, and has not been seen in recently burnt vegetation. Breeding is probably October-February.<br/><p></p>","Suitable grasslands have been rapidly destroyed by mechanised agriculture, intensive cattle-ranching, afforestation with non-native trees such as <span style=""font-style: italic;"">Eucalyptus</span>, planting of exotic grasses, excessive use of pesticides and annual burning<strong> </strong>(Stotz <em>et al.</em> 1996, Parker and Willis 1997, H. del Castillo <em>in litt</em>. 2003, 2007). By 1993, two-thirds of the Cerrado region had been heavily or moderately altered<strong> </strong>(Conservation International 1999), with most of the destruction having occurred since 1950<strong> </strong>(Cavalcanti 1999). In Paraguay, the Reserva Natural Privada Laguna Blanca, San Pedro is failing to protect the species since its natural grasslands are being converted to pastures with exotic grass species and <span style=""font-style: italic;"">Eucalyptus </span>plantations. The population of this species has reduced to a few calling birds in a neighboring property which is now a <span style=""font-style: italic;"">Eucalyptus </span>plantation (H. del Castillo <span style=""font-style: italic;"">in litt</span>. 2012). Most of the known population is now in protected areas, and it is extremely rare outside them (L. F. Silveira <span style=""font-style: italic;"">in litt</span>. 2012). Additionally, climate change might lead to a range contraction of over 50% by the end of the century (Marini <em>et al</em>. 2009).<br/><p></p>","The population is estimated to number 2,500-9,999 mature individuals based on an assessment of known records, descriptions of abundance and range size. This is consistent with recorded population density estimates for congeners or close relatives with a similar body size, and the fact that only a proportion of the estimated Extent of Occurrence is likely to be occupied. This estimate is equivalent to 3,750-14,999 individuals, rounded here to 3,500-15,000 individuals.","Decreasing"
"Geositta poeciloptera","Vulnerable",2018,"2018-08-06 00:00:00 UTC","It is rare to temporarily relatively common in open campo cerrado, where there are at most a few scattered trees, mainly at 500-1,200 m (Ridgely and Tudor 1994)<strong></strong>. The species also occupies degraded habitats and agricultural land, even for nesting (Lopes and Peixoto 2018). It is often most numerous on recently burnt terrain, even where the ground is still smoking (Ridgely and Tudor 1994, <strong></strong>de Vasconcelos <em>et al</em>. 2004), and has disappeared from some areas of São Paulo owing to a lack of fires in the cerrado (Willis and Oniki 1993).<br/> <p></p>","There has been extensive conversion of cerrado habitats to mechanised agriculture, cattle ranching and plantations of non-native tree species (da Silva 1995, Parker and Willis 1997). Two thirds of cerrado habitats had been moderately or extensively altered by 1993 (Conservation International 1999)<strong></strong>, with most destruction having occurred since 1950 (Cavalcanti 1999)<strong></strong>. Suppression of fires on cerrado caused the disappearance of this species from some areas of São Paulo. Open cerrados on flat ground (such as plateau tops) are prime sites for conversion so this species may have suffered particularly badly. It does not adapt to artificial grasslands/pastures and is not found in frequently-burned savannas (L. E. Lopes <em>in litt. </em>2009)<strong><sup></sup></strong>. <p></p>","The global population size has not been quantified, but this species is described as 'uncommon and patchily distributed' (Stotz <em>et al</em>. 1996).","Decreasing"
"Celeus obrieni","Vulnerable",2018,"2018-08-10 00:00:00 UTC","The type specimen and a recently mist-netted bird were from <em>cerrado</em> woodland with open gallery forest, riparian vegetation and babaçu palm (<em>Attalea speciosa</em>) forest. Within this habitat, the species shows strong association with the bamboo <em>Guadua paniculata</em><strong> </strong>(P. Develey <em>in litt</em>. 2007<strong></strong>, Pinheiro and Dornas 2008, Leite <em>et al</em>. 2013), but it avoids agricultural land (Grassi Correa 2012)<strong></strong>. The species appears to specialise in feeding on ants found on bamboo canes (B. Hennessey<em> in litt</em>. 2010, R. T. Pinheiro<em> in litt</em>. 2010). All recent records relate to sightings of single individuals or pairs/family groups. Other aspects of the species's habits are unknown and it seems to occupy markedly different habitat to its sister species, Rufous-headed Woodpecker <em>Celeus spectabilis</em>. <p></p>","The main threats to the species are probably from habitat loss and degradation through fires, infrastructure development, pasture expansion and conversion to soya plantations (F. Olmos <em>in litt</em>. 2006, Gomes Marcelino <em>et al</em>. 2012). Habitat loss is particularly intense in Goiás and Maranhão, where about 70% or the native vegetation is already lost (Gomes Marcelino 2014). The species's habitat is highly fragmented, with patches of cerrado woodland mostly smaller than 5ha (Gomes Marcelino and Pinheiro 2014). In Tocantins, it has been reported that a major expansion in <em>Eucalyptus</em> cultivation will take place to meet demand for paper manufacturing, with more than 1 million hectares of <em>cerrado</em> expected to be converted to plantations (T. Dornas <em>in litt</em>. 2011). In addition to <em>Eucalyptus</em> and soybean, sugarcane is also a major crop in Tocantins (T. Dornas <em>in litt</em>. 2011). The species was recently rediscovered during surveys prior to the building of a new section of the Belém-Brasília highway (BR-010). The new road will facilitate access to the area and the expansion of soybean cultivation will probably follow. Preferred habitat (<em>cerrados</em> with bamboo patches), is frequently burned for cattle ranching; whether this practice destroys habitat or helps to maintain it remains poorly understood; however, in the short-term the extensive habitat loss, fragmentation and degradation that results is expected to have a negative effect on the species (B. Hennessey<em> in litt</em>. 2010). Only around 3% of this species's original habitat may remain (B. Hennessey<em> in litt</em>. 2010). A potential new threat is posed by the construction of dams for hydroelecticity (T. Dornas <span style=""font-style: italic;"">in litt</span>. 2012). <br/><br/><br/><p></p>","A number of recent records have extended the known range of this species, which is now estimated at 6,000 mature individuals (MMA 2014). However, a recent estimate suggests that the population size might be smaller, numbering 1,500-4,000 mature individuals  (R.T. Pinheiro <em>in litt.</em> 2016).","Decreasing"
"Scytalopus novacapitalis","Endangered",2018,"2018-08-07 00:00:00 UTC","This species occurs in swampy gallery forest and dense streamside vegetation at 860-1100 m. It is strongly associated with permanently flooded areas dominated by <em>Blechnum</em> ferns and <em>Euterpe</em> palms (del Hoyo <em>et al.</em> 2003)<strong><sup></sup></strong>.  <p></p>","The population trend is suspected to be declining moderately rapidly  owing to habitat loss and degradation. Due to the low agricultural potential of this species's favoured habitat, it has not been greatly affected by clearance for agriculture. Nevertheless, the annual burning of adjacent grasslands must limit the availability and extent of suitable habitat (Machado <em>et al</em>. 1998)<strong></strong>. Wetland drainage and the sequestration of water for irrigation schemes is further reducing habitat (Machado <em>et al</em>. 1998). The species’s range is severely  fragmented, with continuing decline in area and quality of habitat owing  to pollution, water extraction, trampling by livestock and mining. <p></p>","The global population size has not been quantified, but this species is described as 'rare' (Stotz<em> et al.</em> 1996).","Decreasing"
"Microspingus cinereus","Least Concern",2018,"2018-08-07 00:00:00 UTC","It was previously thought to inhabit <span style=""font-style: italic;"">campo cerrado</span> grasslands and possibly open deciduous woodland but recent records suggest that this species not only persists in, but may in fact favour degraded areas, including burnt areas of <span style=""font-style: italic;"">campo rupestre</span>, orchards, old pastures and abandoned mines (M. F. Vasconcelos <em>in litt.</em> 1999, 2007, Lopes <em>et al. </em>2010)<strong></strong>. It occurs mostly at 600-1,400 m. The species may be semi-nomadic in response to fire succession and is extending its range towards degraded areas in eastern Minas Gerais (M. F. Vasconcelos <em>in litt.</em> 1999, 2007)<strong></strong><strong></strong>. The only breeding record was in September (A. Whittaker <em>in litt</em>. 1999)<strong></strong>. <br/><p></p>","The combined effects of grazing, invasive grasses, annual burning and conversion to agriculture for <em>Eucalyptus</em> plantations, soybeans and pastures for exportable crops (encouraged by government land reform) (Stotz <em>et al.</em> 1996, Parker and Willis 1997)<strong></strong> had heavily or moderately altered two-thirds of the Cerrado region by 1993 (Conservation International 1999)<strong></strong>, with most of the destruction having occurred since 1950 (Cavalcanti 1999)<strong></strong>. Mining activities are reportedly affecting habitat in the south Cadeia do Espinhaço (M. F. Vasconcelos <em>in litt.</em> 1999, 2007)<strong></strong><strong></strong>. However, recent information indicates that this species not only persists in, but may in fact favour, modified habitats such as degraded and burnt cerrado, orchards, old pastures and abandoned mines (M. F. Vasconcelos <em>in litt.</em> 1999, 2007)<strong></strong>. In the Atlantic Forest region of eastern Minas Gerais the species appears to be extending its range as the amount of degraded habitat increases (M. F. Vasconcelos <em>in litt.</em> 1999, 2007, Lopes <em>et al. </em>2010)<strong></strong>. Brood-parasitism by Shiny Cowbird <em>Molothrus bonariensis</em> has been recorded in the Serra do Cipó and will presumably increase with conversion to pastures (Simon <em>et al.</em> 1999). <p></p>","The population size is preliminarily estimated to fall into the band 10,000-19,999 individuals. This equates to 6,667-13,333 mature individuals, rounded here to 6,000-15,000 mature individuals.","Stable"
"Augastes scutatus","Least Concern",2018,"2018-08-07 00:00:00 UTC","There are two distinct races with differing habitat requirements: <em>A. s. scutatus</em> occurs in arid montane scrub and on rocky outcrops within undulating grassland at 900-2,000 m, while <em>A.s. ilseae</em> prefers gallery forest at 1,000-1,200 m (Pearman 1990, Sick 1993<strong></strong>). <strong></strong><br/><p></p>","Much of the species's range was colonised when diamonds and gold were found there in the 19th century. Up to date, small gold mining operations persist. Moreover, quartz crystals and manganese are mined. The principal threat to the species is now increasing conversion of land for cattle ranching, with its restricted range rendering it vulnerable to any form of disturbance (Vasconcelos 1999). <p></p>","The global population size has not been quantified, but this species is described as 'fairly common' (Stotz <em>et al.</em> 1996).","Decreasing"
"Coryphaspiza melanotis","Vulnerable",2018,"2018-08-09 00:00:00 UTC","In Bolivia and Brazil, it inhabits tall, sometimes seasonally wet, grasslands, to 1,200 m (Stotz <em>et al</em>. 1996, Brace <em>et al</em>. 1997)<strong><sup></sup></strong>. In Beni, immatures have been seen in heavily grazed grassland with numerous trees and bushes (Parker 1989), and areas of tussocky grass 50-125 cm tall with scrubby mounds (Mitchell <em>et al</em>. 1997)<strong><sup></sup></strong>. In Paraguay, it has been seen in <span style=""font-style: italic;"">campo sujo</span> comprising pristine tussocky grasses, with small areas of bare ground, scattered bushes and yata'i <em>Butia</em> sp. palms (Lowen <em>et al</em>. 1996, Clay <em>et al.</em> 1998). There is evidence that it tolerates some grassland burning (Lowen <em>et al</em>. 1996, L. P. Silveira <em>in litt</em>. 1999)<strong><sup></sup></strong>, at least if the grass grows back to its full height (R. C. Brace <em>in litt</em>. 1999)<strong><sup></sup></strong>. Breeding is probably September-December (Lowen <em>et al</em>. 1996<strong>, </strong>Clay <em>et al.</em> 1998). <p></p>","Suitable grasslands are being rapidly destroyed by mechanised agriculture, intensive cattle-ranching, afforestation, invasive grasses, excessive use of pesticides and annual burning (Stotz <em>et al</em>. 1996, Parker and Willis 1997). By 1993, two-thirds of the Cerrado region had been heavily or moderately altered (Conservation International 1999)<strong></strong>, with most of the destruction having occurred since 1950 (Cavalcanti 1999)<strong></strong>. Burning is a major problem in the Beni and fires started by ranch managers often get out of control. Although the species appears to show some tolerance to burning its preference for long grass habitats means this is presumably a significant threat (C. Hesse <em>in litt. </em>2007)<strong></strong>. In Paraguay, the Laguna Blanca private nature reserve has failed to protect the species, which is threatened with the continuous conversion of natural grasslands into pastures with exotic grass species and <span style=""font-style: italic;"">Eucalyptus </span>plantations. (H. del Castillo <span style=""font-style: italic;"">in litt</span>. 2012).<p></p>","The population size is preliminarily estimated to fall into the band 10,000-19,999 individuals. This equates to 6,667-13,333 mature individuals, rounded here to 6,000-15,000 mature individuals.","Decreasing"
"Neothraupis fasciata","Near Threatened",2018,"2018-08-09 00:00:00 UTC","This         species occurs in dense <em>cerrado</em>, and has been found in <em>cerradão</em>,         occurring less frequently in savannas and disturbed areas (Isler and Isler 1987).","Conversion         to soybeans, exportable crops and <em>Eucalyptus</em> plantations         (encouraged by government land reform in all three countries) has         severely impacted cerrado habitats (Parker and Willis 1997), with grasslands         in Paraguay additionally threatened by extensive cattle-ranching (Lowen <em>et al.</em> 1996). One         study in Brazil (Duca <em>et al</em>. 2009) suggests that fire suppression         is the most cost-effective management option for increasing         populations.","The global population size has not been quantified, but this species is described as 'fairly common' (Stotz et al. 1996).","Decreasing"
"Porphyrospiza caerulescens","Near Threatened",2018,"2018-08-09 00:00:00 UTC","This species occurs at 600-1,100 m in <span style=""font-style: italic;"">campo cerrado</span>, and particularly <span style=""font-style: italic;"">campo rupestre</span><strong> </strong>(Parker and Rocha 1991, da Silva 1995, Parker <em>et al.</em> 1996).  <p></p>","Conversion to agriculture for <em>Eucalyptus</em> plantations, soybeans and pasture for exportable crops (encouraged by government land reform) have severely impacted its habitat, particularly in Brazil (Parker and Willis 1997)<strong><sup></sup></strong>. Two thirds of <span style=""font-style: italic;"">cerrado </span>habitat had been extensively or significantly modified by 1993 (Conservation International 1999)<strong><sup></sup></strong>, with most destruction having occurred since 1950 (Cavalcanti 1999)<strong><sup></sup></strong>.  <p></p>","The global population size has not been quantified, but this species is described as 'uncommon and patchily distributed' (Stotz et al. 1996).","Decreasing"
"Eurolophosaurus nanuzae","Least Concern",2019,"2014-08-04 00:00:00 UTC","Vive em vegetações abertas rochosas típicas, localmente conhecidas como “campos rupestres”. É saxícola, forrageador do tipo senta-e-espera, críptica e diurna (Galdino et al. 2006), avistada nas horas mais quentes do dia sobre rochas sombreadas (Filogonio <em>et al</em>. 2010).  Alimenta-se principalmente de cupins e formigas (Filogonio <em>et al</em>. 2010). Não há diferença significativa em seu horário de atividade entre as estações seca e chuvosa (Passoni <em>et al</em>. 2008). Sua reprodução é cíclica, ocorrendo da metade da estação seca até o final da estação úmida. Atinge comprimento máximo de 60 mm. Possui uma crista dorsal, presente em ambos os sexos (Rodrigues 1981). A atividade reprodutiva feminina foi influenciada pelo fotoperíodo e pela precipitação de longo prazo e o armazenamento de gordura variou inversamente ao período de atividade reprodutiva. A média de tamanho da ninhada foi de 2,06 (Galdino <em>et al</em>. 2003). Quando capturados, indivíduos podem fugir, levantar a cauda, produzir sons, descarga de conteúdo cloacal, autotomia e/ou mordidas (Galdino <em>et al</em>. 2006). Há registro de parasitismo por helmintos (Fontes <em>et al</em>. 2003).","Embora os campos rupestres ainda se encontrem relativamente intactos, a agricultura e expansão urbana são possíveis ameaças a estas regiões, que ocorrem em meio a áreas já fragmentadas (IUCN 2010).","Espécie facilmente encontrada a mais de 1000 m de elevação dentre as áreas que ocupa (IUCN 2010).","Unknown"
"Heterodactylus lundii","Endangered",2021,"2014-08-04 00:00:00 UTC","Espécie de corpo alongado, membros reduzidos, devido ao seu hábito fossorial, vivendo entre troncos, raízes, cupinzeiros, sob pedras ou sob o folhiço de paisagens abertas das regiões montanhosas de Minas Gerais (Rodrigues <em>et al</em>. 2007,Rodrigues <em>et al.</em> 2009). Atinge até 60 mm de comprimento rostro-cloacal, onde a cauda é cerca de duas vezes maior que o corpo. A ninhada é composta por apenas dois ovos (Rodrigues <em>et al</em>. 2007, Rodrigues <em>et al</em>. 2009).","Apesar de não existirem dados a respeito das ameaças sobre a espécie, a destruição e a fragmentação dos ambientes de campos de altitude principalmente pelo fogo parecem ser suas maiores ameaças. A subpopulação da Serra da Piedade (Quadrilátero Ferrífero no extremo sul da Cadeia do Espinhaço) encontra-se sobre forte influência de atividades de mineração. Esta área também recebe turistas frequentemente&#160; e tem silvicultura (A. Silveira com. pess. 2013).","Espécie rara, conhecida de poucos indivíduos. Aparentemente é abundante no topo da Serra da Piedade, mas é pouco conhecida no restante de sua área de ocorrência (Rodrigues <em>et al</em>. 2007, Rodrigues <em>et al</em>. 2009). Por ocorrer apenas em áreas de campo de altitude (acima de 900 m), as subpopulações encontram-se isoladas geograficamente. Todavia, as alterações sofridas no ambiente, acentuam essa fragmentação causando, possivelmente, a interrupção do fluxo gênico.","Unknown"
